variable,n_topk_slices,frameworks,contexts,granularities,max_importance,best_rank_any
st_avoid_mistakes,2,MLFTAU_Contextual_OutOfSchool,OutOfSchool,Construct,0.696964863,2
st_school_unprepared_adult_life,2,MLFTAU_Contextual_InSchool,InSchool,Construct,0.692183479,2
sc_math_programme_regional_standards,2,MLFTAU_Contextual_InSchool,InSchool,Construct,0.534641016,2
st_reason_school_missed_sick,2,PISA_Contextual_OutOfSchool,OutOfSchool,Construct,0.481705774,2
sc_info_future_careers,2,PISA_Contextual_InSchool,InSchool,Construct,0.061113588,2
sc_inhouse_training_math_specialists,2,PISA_Contextual_InSchool,InSchool,Construct,0.428382586,3
st_school_prepared_future,2,PISA_Contextual_InSchool,InSchool,Construct,0.3648196,4
scdv_educational_leadership,2,PISA_Contextual_InSchool,InSchool,Construct,0.649764431,6
scdv_negative_school_climate,2,MLFTAU_Contextual_InSchool,InSchool,Construct,0.059892926,15
sc_teacher_monitor_external_observe,1,PISA_Contextual_InSchool,InSchool,Construct,0.938006862,2
st_notifications_off_sleep,1,MLFTAU_Contextual_OutOfSchool,OutOfSchool,Construct,0.698030133,2
st_school_useful_in_job,1,MLFTAU_Contextual_InSchool,InSchool,Construct,0.614254549,2
st_reason_school_missed_family_care,1,PISA_Contextual_OutOfSchool,OutOfSchool,Construct,0.418430536,2
sc_math_achievement_provided_parents,1,PISA_Contextual_InSchool,InSchool,Construct,0.251302534,2
sc_info_internships,1,PISA_Contextual_InSchool,InSchool,Construct,0.185141602,2
sc_external_eval_teaching_plan,1,PISA_Contextual_InSchool,InSchool,Construct,0.724551294,3
sc_study_help_staff,1,PISA_Contextual_InSchool,InSchool,Construct,0.513232511,3
sc_teacher_monitor_tests,1,PISA_Contextual_InSchool,InSchool,Construct,0.476972877,3
sc_external_eval_action_plan,1,PISA_Contextual_InSchool,InSchool,Construct,0.45745448,3
sc_all_teachers_prof_dev_percent,1,PISA_Contextual_InSchool,InSchool,Construct,0.298800751,5
stdv_work_household,1,MLFTAU_Contextual_OutOfSchool,OutOfSchool,Construct,0.424312916,7
sc_math_classes_mixed_ability,1,PISA_Contextual_InSchool,InSchool,Construct,0.196803182,8
sc_student_grouped_within_classes,1,PISA_Contextual_InSchool,InSchool,Construct,0.183988154,8
sc_math_programme_local_standards,1,MLFTAU_Contextual_InSchool,InSchool,Construct,0.140382012,8
st_wait_turn_to_speak,1,PISA_Contextual_InSchool,InSchool,Construct,0.163232961,12
stdv_student_grade,1,MLFTAU_Contextual_InSchool,InSchool,Construct,0.161489382,13
st_family_pressure_specific_path,1,MLFTAU_Contextual_OutOfSchool,OutOfSchool,Construct,0.156176276,13
scdv_proportion_admin_staff,1,MLFTAU_Contextual_InSchool,InSchool,Construct,0.068528159,13
st_student_grade_level,1,MLFTAU_Contextual_InSchool,InSchool,Construct,0.15975192,14
