framework_group,variable,topk_in_school,topk_out_school,best_rank_in_school,best_rank_out_school,max_imp_in_school,max_imp_out_school,peak_slice_in_school,peak_slice_out_school,shift_type
MLFTAU,stdv_cognitive_activation_math_thinking,TRUE,FALSE,2,NA,0.960889548,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | facilitating_conditions | READ,NA,InSchool-only (top-k)
MLFTAU,stdv_cognitive_activation_reasoning,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | facilitating_conditions | MATH,NA,InSchool-only (top-k)
MLFTAU,stdv_education_level_program,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_society | organisation_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,stdv_exposure_21st_century_math,TRUE,FALSE,2,NA,0.867443889,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | task_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,stdv_exposure_formal_applied_math,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | task_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,stdv_math_disciplinary_climate,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | environment_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,stdv_math_persistence,TRUE,FALSE,3,NA,0.881628866,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | user_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,stdv_math_self_efficacy_21st,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | user_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,stdv_school_absence_3_months,TRUE,FALSE,10,NA,0.441126023,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | user_attributes | SCIE,NA,InSchool-only (top-k)
MLFTAU,stdv_sense_of_belonging,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | well_being_outcomes | MATH,NA,InSchool-only (top-k)
MLFTAU,stdv_student_grade,TRUE,FALSE,13,NA,0.161489382,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | user_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,stdv_student_teacher_relation,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | social_influence | MATH,NA,InSchool-only (top-k)
MLFTAU,stdv_teacher_support_math,TRUE,FALSE,6,NA,0.57168335,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | facilitating_conditions | SCIE,NA,InSchool-only (top-k)
MLFTAU,ic_digital_use_coding_algorithms,FALSE,TRUE,NA,5,NA,0.296048217,NA,MLFTAU_Contextual_OutOfSchool | OutOfSchool | Construct | individual | task_attributes | SCIE,OutOfSchool-only (top-k)
